_id,reporterId,dumpsterId,status,issue,category,createdAt,updatedAt,resolvedBy,resolutionDetails,__v
683c65ddce00b4080c776203,683c65afec3ea3a3e6e2962b,683c5f2fcbcaac70a25848be,resolved,safety_harzards,metal,2025-05-21T13:59:19.028Z,2025-06-01T14:38:21.838Z,683c3c18af8b8a5af29bf9d6,Structural damage fixed and sealed.,0
683c65ddce00b4080c776204,683c65c0ec3ea3a3e6e2962f,683c5f2fcbcaac70a25847ff,resolved,bad_odors,plastic,2025-05-05T09:33:31.972Z,2025-06-01T14:38:21.839Z,683c3c18af8b8a5af29bf9d6,Dumpster cleaned and restored to service.,0
683c65ddce00b4080c776205,683c65a6ec3ea3a3e6e29627,683c5f2fcbcaac70a258485c,resolved,vandalized,plastic,2025-05-21T05:53:01.398Z,2025-06-01T14:38:21.839Z,683c3c18af8b8a5af29bf9d6,Hazardous materials properly disposed.,0
683c65ddce00b4080c776206,683c65afec3ea3a3e6e2962b,683c5f2fcbcaac70a258484f,resolved,bad_odors,textiles,2025-05-03T11:59:52.019Z,2025-06-01T14:38:21.839Z,683c3c18af8b8a5af29bf9d6,Dumpster cleaned and restored to service.,0
683c65ddce00b4080c776207,683c65a6ec3ea3a3e6e29627,683c5f2fcbcaac70a258488b,resolved,safety_harzards,textiles,2025-05-02T23:04:19.804Z,2025-06-01T14:38:21.839Z,683c3c18af8b8a5af29bf9d6,Issue resolved by sanitation team.,0
683c65ddce00b4080c776208,683c65afec3ea3a3e6e2962b,683c5f2fcbcaac70a2584803,resolved,vandalized,textiles,2025-06-01T06:54:53.019Z,2025-06-01T14:38:21.839Z,683c3c18af8b8a5af29bf9d6,Structural damage fixed and sealed.,0
683c65ddce00b4080c776209,683c65c0ec3ea3a3e6e2962f,683c5f2fcbcaac70a25848f1,rejected,vandalized,batteries,2025-05-02T15:21:28.580Z,2025-06-01T14:38:21.839Z,683c3c18af8b8a5af29bf9d6,Dumpster cleaned and restored to service.,0
683c65ddce00b4080c77620a,683c65a6ec3ea3a3e6e29627,683c5f2fcbcaac70a2584812,rejected,bad_odors,glass,2025-05-20T10:09:55.172Z,2025-06-01T14:38:21.839Z,683c3c18af8b8a5af29bf9d6,Materials removed and site disinfected.,0
683c65ddce00b4080c77620b,6832f4f564953f51f4f609b2,683c5f2fcbcaac70a25848fa,resolved,safety_harzards,paper,2025-05-18T02:11:02.715Z,2025-06-01T14:38:21.839Z,683c3c18af8b8a5af29bf9d6,Dumpster cleaned and restored to service.,0
683c65ddce00b4080c77620c,6832f4f564953f51f4f609b2,683c5f2fcbcaac70a2584845,resolved,vandalized,glass,2025-05-09T00:14:24.777Z,2025-06-01T14:38:21.839Z,683c3c18af8b8a5af29bf9d6,Materials removed and site disinfected.,0
